id_restaurant,nom,type_etablissement,type_de_restaurant,type_de_service,latitude,longitude,adresse_complete,telephone,horaires_ouverture,description
11185492579,Myung Ka,restaurant,korean,Standard,48.8473855,2.3041692,"19, Boulevard Garibaldi, 75015, Paris",+33 1 47 83 41 45,,
2217679723,Hội An,restaurant,vietnam,Standard,48.8254308,2.3611848,,,"Tu-Su 12:00-14:00, 19:00-21:00",
10911311886,Gigi Paris,restaurant,,Standard,48.8657165,2.303305,"15, Avenue Montaigne, 75008, Paris",+33 1 47 23 55 99,,
2500397047,Crêperie du Parc,restaurant,crepe,Standard,48.8329686,2.3010817,,,,
8093482039,Yaya,restaurant,greek,Standard,48.8811974,2.3739186,,+33 1 42 41 12 86,,
3056156780,Pho Belleville,restaurant,chinese,Standard,48.873632,2.3748477,,,,
6390592717,Sushi Gan,restaurant,japanese,Standard,48.8668579,2.3361101,,,,
251671404,Polidor,restaurant,french,Standard,48.8498182,2.3401339,,+33 1 43 26 95 34,"Mo-Su 12:00-14:30,19:00-00:30",
12259785601,Hwaro Grill,restaurant,asian;barbecue;korean,Standard,48.8453289,2.2976352,"58, Rue de la Croix Nivert, 75015",01 42 93 50 89,"Mo-Su 12:00-14:30, 19:00-22:30",
1215524265,Mer de Chine - 北海,restaurant,chineses (Teochew) - 中国潮州,Standard,48.8299382,2.3626544,,,"We-Su 12:00-15:00, Mo-Su 18:30-24:00",
7227689604,OKITO Le Peletier,restaurant,japanese,Standard,48.8753639,2.3406528,"55, Rue du Faubourg Montmartre, 75009, Paris",+33140160923,"Mo-Sa 12:00-15:00,18:30-23:00; Su 18:30-23:00",
2726770229,Le Bistro D'Alberto,restaurant,,Standard,48.8834502,2.2938754,,,,
2086423559,OYA Fusion,restaurant,,Standard,48.8754701,2.2836788,"141, Avenue de Malakoff, 75016, Paris",+33 1 40 67 18 44,,
7861045052,Khaaw Hoom,restaurant,thai,Standard,48.8464179,2.352127,,,"Mo-Sa 12:00-14:30,19:00-22:30",
7074407511,La Goyave,restaurant,,Standard,48.8958394,2.3469752,,,,
11403245745,Maison nouilles 12,restaurant,chinese,Standard,48.8478238,2.3865565,"29, Rue de Reuilly",+33 9 84 52 73 52,"Mo-Sa 11:30-15:00, 18:00-22:30",
9088810820,Bises nouilles,restaurant,asian,Standard,48.8726616,2.3756458,,,,
534660987,L'Été en Pente Douce,restaurant,,Standard,48.8863224,2.3451842,75018,,Mo-Su 12:00-24:00,
3210969433,Fratelli,restaurant,,Standard,48.8586999,2.362702,,,,
7447391351,P'tit deux comptoir de chefs,restaurant,french,Standard,48.8682905,2.373936,"57, Rue de la Fontaine au Roi, 75011, Paris",,,
6390367455,Fouxing,restaurant,chinese,Standard,48.8499497,2.3432468,,,"Mo-Fr 11:45-14:45,18:30-22:30; Sa 11:45-15:00,18:30-22:45; Su off",
4954891341,Okinawa Sushi,restaurant,,Standard,48.8715843,2.3457578,"5, Rue Rougemont, 75009, Paris",,,
1746658386,La Cigalle,restaurant,,Standard,48.850869,2.2932272,,,,
7309305046,Carboni‘s,restaurant,french,Standard,48.8617236,2.3613092,"14, Rue Charlot, 75003, Paris",+33 1 42 72 49 12,Tu-Su 12:00-14:30; Tu-Sa 19:00-02:00,
2927852338,Goui,restaurant,korean,Standard,48.8675186,2.3351949,,+33 9 83 95 67 16,,
3514716751,Monte Cristo,restaurant,italian,Standard,48.8477606,2.3654791,,,"Mo-Sa 12:00-15:00,19:00-23:00",
3197165287,Arlette,restaurant,,Standard,48.8650522,2.3663679,,,,
1244411732,Chez Rami,restaurant,lebanese,Standard,48.8467897,2.3047964,,,,
6404138285,Alfio,restaurant,,Standard,48.8580452,2.2998447,,,,
2806710509,Blend Hamburger,restaurant,burger,Standard,48.8686796,2.325547,,,Mo-Fr 12:00-15:00; Sa-Su off,
6822652646,L'Anason,restaurant,,Standard,48.8721482,2.3503342,,,,
2949332506,Villa Punjab,restaurant,indian,Standard,48.8808861,2.3021518,,,"Mo-Sa 12:00-14:30,19:00-23:30",
6352290185,L'Inspiration,restaurant,french;bistro;traditional;gourmet,Standard,48.8410478,2.3147864,"65, Boulevard Pasteur, 75015, Paris",+33143202122,,
10763780649,Piadineria,restaurant,italian,Standard,48.8553677,2.3718537,"13, Rue Saint-Sabin, 75011, Paris",+33 6 51 89 07 44,"Mo-Fr 11:30-15:00, 18:30-22:30; Sa 12:00-15:00, 19:00-23:00",
6909766620,L'Etoile d'Afrique,restaurant,,Standard,48.8739256,2.3565655,,,,
1719495039,Baja,restaurant,,Standard,48.8418455,2.390511,,,,
9957049945,Le Petit Versailles,restaurant,,Standard,48.8451447,2.2711688,,,,
10805325050,Le Repas du Temps,restaurant,,Standard,48.8745733,2.3310637,,,,
6295847898,La Source,restaurant,,Standard,48.8581632,2.3102277,"49, Boulevard de la Tour Maubourg, 75007, Paris",,,
7765035430,Fulano,restaurant,,Standard,48.892952,2.3504519,"15, Rue Boinod, 75018, Paris",,Mo-Su 12:00-23:00,
8515978525,5ushifafa,restaurant,sushi,Standard,48.8400855,2.3500898,,,,
989286977,Le Beaujolais d'Auteuil,restaurant,,Standard,48.8485735,2.2607316,"99, Boulevard de Montmorency, 75016, Paris",+33 1 47 43 03 56,Mo-Fr 08:30-00:00; Sa-Su 09:30-00:00,
704820015,L'Éléphant du Nil,restaurant,french,Standard,48.855152,2.3602439,,,Mo-Sa 07:30-01:00,
2763435496,Sam Chic,restaurant,korean,Standard,48.8678227,2.3369768,,,,
12158459775,Douieb,restaurant,oriental,Standard,48.8737799,2.3442798,"11 bis, Rue Geoffroy Marie, 75009, Paris",+33 1 47 70 86 09,,
3080019130,La Vie d'Ange,restaurant,,Standard,48.8324657,2.3375075,,,,
4187963973,Planet Sushi,restaurant,japanese,Standard,48.8843344,2.2973671,,,,
3961977756,Les Bledards,restaurant,pizza,Standard,48.8786653,2.366073,,,,
4954890929,Le Relais Paris Opéra,restaurant,,Standard,48.8713229,2.3310353,,,,
5037035721,Koff,restaurant,american,Standard,48.8847325,2.3400291,75018,,"Tu-Fr 12:00-15:00,19:00-22:30, Sa,Su 12:00-17:00,19:00-22:30",
2726778662,Tib´s,restaurant,,Standard,48.8822916,2.2913772,,,,
6031751159,IL Brigante,restaurant,pizza,Standard,48.8921794,2.3400395,"14, Rue du Ruisseau, 75018, Paris",+33 1 44927215,"Mo-Sa 12:00-14:30,19:30-23:30; Su 19:30-23:30",
6972520006,Vapiano Paris Batignolles,restaurant,italian;pasta;italian_pizza,Standard,48.8903038,2.3119124,"39, Rue Mstislav Rostropovitch, 75017, Paris",+33 1 84 14 55 33,Mo-Fr 11:00-14:30; Mo-Fr 18:00-22:30; Sa-Su 11:00-23:30,
10172473659,Kirane India,restaurant,indian,Standard,48.878029,2.2856463,,+33 1 45 74 22 88,"12:00-14:30,19:00-23:15",
